Date,Open,High,Low,Close,Adj Close,Volume
2013-05-13,41.029999,41.029999,41.029999,41.029999,37.308613,0
2013-05-14,41.470001,41.470001,41.470001,41.470001,37.708714,0
2013-05-15,41.680000,41.680000,41.680000,41.680000,37.899662,0
2013-05-16,41.470001,41.470001,41.470001,41.470001,37.708714,0
2013-05-17,41.900002,41.900002,41.900002,41.900002,38.099705,0
2013-05-20,41.880001,41.880001,41.880001,41.880001,38.081516,0
2013-05-21,41.950001,41.950001,41.950001,41.950001,38.145168,0
2013-05-22,41.540001,41.540001,41.540001,41.540001,37.772358,0
2013-05-23,41.450001,41.450001,41.450001,41.450001,37.690517,0
2013-05-24,41.410000,41.410000,41.410000,41.410000,37.654144,0
2013-05-28,41.689999,41.689999,41.689999,41.689999,37.908745,0
2013-05-29,41.380001,41.380001,41.380001,41.380001,37.626869,0
2013-05-30,41.570000,41.570000,41.570000,41.570000,37.799637,0
2013-05-31,41.009998,41.009998,41.009998,41.009998,37.290421,0
2013-06-03,41.209999,41.209999,41.209999,41.209999,37.472294,0
2013-06-04,40.970001,40.970001,40.970001,40.970001,37.254055,0
2013-06-05,40.419998,40.419998,40.419998,40.419998,36.753933,0
2013-06-06,40.790001,40.790001,40.790001,40.790001,37.090382,0
2013-06-07,41.290001,41.290001,41.290001,41.290001,37.545033,0
2013-06-10,41.299999,41.299999,41.299999,41.299999,37.554127,0
2013-06-11,40.869999,40.869999,40.869999,40.869999,37.163124,0
2013-06-12,40.529999,40.529999,40.529999,40.529999,36.853962,0
2013-06-13,41.160000,41.160000,41.160000,41.160000,37.426815,0
2013-06-14,40.930000,40.930000,40.930000,40.930000,37.217690,0
2013-06-17,41.220001,41.220001,41.220001,41.220001,37.481380,0
2013-06-18,41.560001,41.560001,41.560001,41.560001,37.790550,0
2013-06-19,40.990002,40.990002,40.990002,40.990002,37.272251,0
2013-06-20,39.959999,39.959999,39.959999,39.959999,36.335667,0
2013-06-21,39.860001,39.860001,39.860001,39.860001,36.416065,0
2013-06-24,39.369999,39.369999,39.369999,39.369999,35.968391,0
2013-06-25,39.770000,39.770000,39.770000,39.770000,36.333839,0
